                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1218,                0.51401,                0.89161,                0.93137,                0.90909,                0.95122,                0.53321,                 1.4718,                0.56802,                  1.021,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.1144,                0.51191,                0.88714,                0.94235,                 0.9045,                0.95261,                0.53478,                  1.472,                0.57255,                 1.0327,               0.007228,               0.007228,               0.007228
                     59,                 1.1197,                0.51344,                  0.895,                0.94165,                0.90277,                0.95276,                0.52198,                 1.4812,                0.57802,                 1.0283,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.1342,                0.51924,                 0.8946,                0.93644,                0.90838,                0.95457,                0.53694,                 1.4549,                0.55681,                 1.0213,               0.007129,               0.007129,               0.007129
                     61,                 1.1188,                0.50923,                0.90019,                0.93517,                0.90089,                0.95418,                0.53387,                 1.4668,                0.55619,                  1.027,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.1141,                0.50794,                0.89277,                0.94561,                0.91621,                0.96102,                0.55184,                 1.4535,                0.55364,                  1.034,                0.00703,                0.00703,                0.00703
                     63,                 1.1122,                0.50572,                0.89473,                0.92687,                0.92727,                0.96031,                0.54411,                 1.4624,                0.55358,                 1.0304,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.1147,                0.50802,                0.89911,                0.93422,                0.92064,                0.96266,                0.54485,                 1.4708,                0.54513,                 1.0351,               0.006931,               0.006931,               0.006931
                     65,                 1.1163,                 0.5097,                0.89256,                0.94435,                0.92253,                0.95979,                0.54253,                  1.462,                0.55171,                 1.0239,              0.0068815,              0.0068815,              0.0068815
                     66,                  1.101,                0.50658,                0.88799,                0.94133,                0.90988,                 0.9614,                 0.5509,                 1.4589,                0.55156,                 1.0247,               0.006832,               0.006832,               0.006832
                     67,                 1.1011,                0.50298,                 0.8867,                0.92573,                0.91635,                0.95582,                0.54533,                 1.4737,                0.55449,                 1.0355,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0811,                0.50007,                0.88271,                0.93143,                0.91269,                0.95973,                  0.543,                 1.4407,                 0.5402,                 1.0256,               0.006733,               0.006733,               0.006733
                     69,                 1.1026,                0.49737,                0.89196,                0.94823,                0.92665,                 0.9646,                0.54822,                 1.4603,                0.54045,                  1.029,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0956,                0.49606,                0.88663,                0.93238,                0.92806,                 0.9597,                0.54327,                  1.478,                 0.5503,                  1.042,               0.006634,               0.006634,               0.006634
                     71,                 1.0959,                0.50775,                0.88619,                0.95362,                0.89644,                0.95602,                0.54045,                 1.4666,                0.55483,                 1.0294,              0.0065845,              0.0065845,              0.0065845
                     72,                   1.09,                0.49472,                0.88706,                  0.949,                0.91195,                0.96039,                0.55163,                  1.449,                 0.5456,                 1.0277,               0.006535,               0.006535,               0.006535
                     73,                 1.0775,                0.49103,                0.88666,                0.96087,                0.89284,                0.96264,                0.54875,                 1.4517,                0.54306,                 1.0234,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0752,                0.49238,                0.88335,                0.95706,                 0.9161,                 0.9644,                0.55039,                 1.4456,                0.53233,                 1.0289,               0.006436,               0.006436,               0.006436
                     75,                  1.073,                0.48257,                0.87906,                0.95923,                0.92095,                0.96659,                0.54911,                 1.4483,                0.52391,                 1.0251,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0605,                0.47986,                0.88107,                0.95452,                0.91259,                0.96231,                0.55113,                 1.4404,                0.53446,                 1.0219,               0.006337,               0.006337,               0.006337
                     77,                 1.0729,                0.49038,                0.88255,                0.93993,                0.91538,                0.96072,                0.54728,                 1.4555,                0.55048,                 1.0306,              0.0062875,              0.0062875,              0.0062875
